,searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,url,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,cuisines split
9692,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.341577,-71.069312,1.791706489,Burro Bar,522901,https://www.doordash.com/store/522901/?pickup=false,"Burro Bar South End, 2140, 1357 Washington St, Boston, MA 02118, United States",Mexican|Brunch|Tacos|Dessert|Seafood,37 - 47,42,481,4.7,"['Mexican', 'Brunch', 'Tacos', 'Dessert', 'Seafood']"
9695,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3249537,-71.0624738,1.616222931,Totto Ramen,987900,https://www.doordash.com/store/987900/?pickup=false,"Totto Ramen, 20A District Ave, Boston, MA 02125, USA",Ramen|Japanese|Noodles|Appetizers,28 - 38,33,455,4.6,"['Ramen', 'Japanese', 'Noodles', 'Appetizers']"
9698,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3342999,-71.0354531,0.151391505,Cafe Mamtaz,267586,https://www.doordash.com/store/267586/?pickup=false,"87 L St; South Boston, MA 02127-3172, USA",Indian|Biryani|Salads|Soup|Dessert,26 - 36,31,170,4.4,"['Indian', 'Biryani', 'Salads', 'Soup', 'Dessert']"
9701,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3513064,-71.0434575,1.114857224,Ocean Prime,1151895,https://www.doordash.com/store/1151895/?pickup=false,"Ocean Prime, 140 Seaport Blvd, Boston, MA 02210, USA",Seafood|Sushi|Dessert|Alcohol|Salads,30 - 40,35,380,4.7,"['Seafood', 'Sushi', 'Dessert', 'Alcohol', 'Salads']"
9704,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3435278,-71.0446136,0.695605576,Alma Gaucha,966844,https://www.doordash.com/store/966844/?pickup=false,"401 D St, Boston, MA 02210, USA",Brazilian|Steakhouses|Dessert,32 - 42,37,53,4.5,"['Brazilian', 'Steakhouses', 'Dessert']"
9708,2127,42.3364553,-71.0349193,"371 W Fourth St, Boston, MA 02127, USA",MA,Boston,BO,42.3370731,-71.0484078,0.690195878,Fromage Wine and Cheese Bar,522337,https://www.doordash.com/store/522337/?pickup=false,"Fromage Wine Bar and Restaurant, 401 W Broadway, Boston, MA 02127, USA",Juice Bar|Creperies|Coffee & Tea|Sandwiches|Salads,34 - 44,39,64,4.5,"['Juice Bar', 'Creperies', 'Coffee & Tea', 'Sandwiches', 'Salads']"
9709,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3562534,-71.0608267,1.90292878,"Xi""An Rougamo",648025,https://www.doordash.com/store/648025/?pickup=false,"417 Washington St, Boston, MA 02129, USA",Chinese|Noodles|Milk Tea|Smoothies|Burgers,47 - 57,52,237,4.7,"['Chinese', 'Noodles', 'Milk Tea', 'Smoothies', 'Burgers']"
9712,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3573886,-71.0581607,1.870873561,Luke's Lobster,67226,https://www.doordash.com/store/67226/?pickup=false,"290 Washington St, Boston, MA 02108, USA",Dessert|Beverages|Salad|Shrimp|Grilled Cheese|Rolls|Lobster Rolls|Fresh Lobster|Crab|Lobster|Soup|Seafood,39 - 49,44,164,4.6,"['Dessert', 'Beverages', 'Salad', 'Shrimp', 'Grilled Cheese', 'Rolls', 'Lobster Rolls', 'Fresh Lobster', 'Crab', 'Lobster', 'Soup', 'Seafood']"
9715,2127,42.3364553,-71.0349193,"371 W Fourth St, Boston, MA 02127, USA",MA,Boston,BO,42.3514546,-71.0455063,1.168846223,Cardullo's Gourmet Shoppe,847016,https://www.doordash.com/store/847016/?pickup=false,"99 Seaport Blvd, Boston, MA 02210, USA",Sandwiches|Snacks|Salads|Wraps|Sweets,28 - 38,33,207,4.7,"['Sandwiches', 'Snacks', 'Salads', 'Wraps', 'Sweets']"
9718,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3480337,-71.0411874,0.861615622,Eddie Merlot's,1650957,https://www.doordash.com/store/1650957/?pickup=false,"505 Congress St, Boston, MA 02210, USA",Steakhouses|Steak|Butcher|Salads|Dessert|Seafood|Healthy,26 - 36,31,20,4.7,"['Steakhouses', 'Steak', 'Butcher', 'Salads', 'Dessert', 'Seafood', 'Healthy']"
